SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP
40,3,6,1,0,Alabama,Alabama,4779736
50,3,6,1,1,Alabama,Autauga County,54571
50,3,6,1,3,Alabama,Baldwin County,182265
50,3,6,1,5,Alabama,Barbour County,27457
50,3,6,1,7,Alabama,Bibb County,22915
50,3,6,1,9,Alabama,Blount County,57322
50,3,6,1,11,Alabama,Bullock County,10914
50,3,6,1,13,Alabama,Butler County,20947
50,3,6,1,15,Alabama,Calhoun County,118572
50,3,6,1,17,Alabama,Chambers County,34215
50,3,6,1,19,Alabama,Cherokee County,25989
50,3,6,1,21,Alabama,Chilton County,43643
50,3,6,1,23,Alabama,Choctaw County,13859
50,3,6,1,25,Alabama,Clarke County,25833
50,3,6,1,27,Alabama,Clay County,13932
50,3,6,1,29,Alabama,Cleburne County,14972
50,3,6,1,31,Alabama,Coffee County,49948
50,3,6,1,33,Alabama,Colbert County,54428
50,3,6,1,35,Alabama,Conecuh County,13228
50,3,6,1,37,Alabama,Coosa County,11539
50,3,6,1,39,Alabama,Covington County,37765
50,3,6,1,41,Alabama,Crenshaw County,13906
50,3,6,1,43,Alabama,Cullman County,80406
50,3,6,1,45,Alabama,Dale County,50251
50,3,6,1,47,Alabama,Dallas County,43820
50,3,6,1,49,Alabama,DeKalb County,71109
50,3,6,1,51,Alabama,Elmore County,79303
50,3,6,1,53,Alabama,Escambia County,38319
50,3,6,1,55,Alabama,Etowah County,104430
50,3,6,1,57,Alabama,Fayette County,17241
50,3,6,1,59,Alabama,Franklin County,31704
50,3,6,1,61,Alabama,Geneva County,26790
50,3,6,1,63,Alabama,Greene County,9045
50,3,6,1,65,Alabama,Hale County,15760
50,3,6,1,67,Alabama,Henry County,17302
50,3,6,1,69,Alabama,Houston County,101547
50,3,6,1,71,Alabama,Jackson County,53227
50,3,6,1,73,Alabama,Jefferson County,658466
50,3,6,1,75,Alabama,Lamar County,14564
50,3,6,1,77,Alabama,Lauderdale County,92709
50,3,6,1,79,Alabama,Lawrence County,34339
50,3,6,1,81,Alabama,Lee County,140247
50,3,6,1,83,Alabama,Limestone County,82782
50,3,6,1,85,Alabama,Lowndes County,11299
50,3,6,1,87,Alabama,Macon County,21452
50,3,6,1,89,Alabama,Madison County,334811
50,3,6,1,91,Alabama,Marengo County,21027
50,3,6,1,93,Alabama,Marion County,30776
50,3,6,1,95,Alabama,Marshall County,93019
50,3,6,1,97,Alabama,Mobile County,412992
50,3,6,1,99,Alabama,Monroe County,23068
50,3,6,1,101,Alabama,Montgomery County,229363
50,3,6,1,103,Alabama,Morgan County,119490
50,3,6,1,105,Alabama,Perry County,10591
50,3,6,1,107,Alabama,Pickens County,19746
50,3,6,1,109,Alabama,Pike County,32899
50,3,6,1,111,Alabama,Randolph County,22913
50,3,6,1,113,Alabama,Russell County,52947
50,3,6,1,115,Alabama,St. Clair County,83593
50,3,6,1,117,Alabama,Shelby County,195085
50,3,6,1,119,Alabama,Sumter County,13763
50,3,6,1,121,Alabama,Talladega County,82291
50,3,6,1,123,Alabama,Tallapoosa County,41616
50,3,6,1,125,Alabama,Tuscaloosa County,194656
50,3,6,1,127,Alabama,Walker County,67023
50,3,6,1,129,Alabama,Washington County,17581
50,3,6,1,131,Alabama,Wilcox County,11670
50,3,6,1,133,Alabama,Winston County,24484
40,4,9,2,0,Alaska,Alaska,710231
50,4,9,2,13,Alaska,Aleutians East Borough,3141
50,4,9,2,16,Alaska,Aleutians West Census Area,5561
50,4,9,2,20,Alaska,Anchorage Municipality,291826
50,4,9,2,50,Alaska,Bethel Census Area,17013
50,4,9,2,60,Alaska,Bristol Bay Borough,997
50,4,9,2,68,Alaska,Denali Borough,1826
50,4,9,2,70,Alaska,Dillingham Census Area,4847
50,4,9,2,90,Alaska,Fairbanks North Star Borough,97581
50,4,9,2,100,Alaska,Haines Borough,2508
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2150
50,4,9,2,110,Alaska,Juneau City and Borough,31275
50,4,9,2,122,Alaska,Kenai Peninsula Borough,55400
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13477
50,4,9,2,150,Alaska,Kodiak Island Borough,13592
50,4,9,2,158,Alaska,Kusilvak Census Area,7459
50,4,9,2,164,Alaska,Lake and Peninsula Borough,1631
50,4,9,2,170,Alaska,Matanuska-Susitna Borough,88995
50,4,9,2,180,Alaska,Nome Census Area,9492
50,4,9,2,185,Alaska,North Slope Borough,9430
50,4,9,2,188,Alaska,Northwest Arctic Borough,7523
50,4,9,2,195,Alaska,Petersburg Borough,3815
50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,5559
50,4,9,2,220,Alaska,Sitka City and Borough,8881
50,4,9,2,230,Alaska,Skagway Municipality,968
50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,7029
50,4,9,2,261,Alaska,Valdez-Cordova Census Area,9636
50,4,9,2,275,Alaska,Wrangell City and Borough,2369
50,4,9,2,282,Alaska,Yakutat City and Borough,662
50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5588
40,4,8,4,0,Arizona,Arizona,6392017
50,4,8,4,1,Arizona,Apache County,71518
50,4,8,4,3,Arizona,Cochise County,131346
50,4,8,4,5,Arizona,Coconino County,134421
50,4,8,4,7,Arizona,Gila County,53597
50,4,8,4,9,Arizona,Graham County,37220
50,4,8,4,11,Arizona,Greenlee County,8437
50,4,8,4,12,Arizona,La Paz County,20489
50,4,8,4,13,Arizona,Maricopa County,3817117
50,4,8,4,15,Arizona,Mohave County,200186
50,4,8,4,17,Arizona,Navajo County,107449
50,4,8,4,19,Arizona,Pima County,980263
50,4,8,4,21,Arizona,Pinal County,375770
50,4,8,4,23,Arizona,Santa Cruz County,47420
50,4,8,4,25,Arizona,Yavapai County,211033
50,4,8,4,27,Arizona,Yuma County,195751
40,3,7,5,0,Arkansas,Arkansas,2915918
50,3,7,5,1,Arkansas,Arkansas County,19019
50,3,7,5,3,Arkansas,Ashley County,21853
50,3,7,5,5,Arkansas,Baxter County,41513
50,3,7,5,7,Arkansas,Benton County,221339
50,3,7,5,9,Arkansas,Boone County,36903
50,3,7,5,11,Arkansas,Bradley County,11508
50,3,7,5,13,Arkansas,Calhoun County,5368
50,3,7,5,15,Arkansas,Carroll County,27446
50,3,7,5,17,Arkansas,Chicot County,11800
50,3,7,5,19,Arkansas,Clark County,22995
50,3,7,5,21,Arkansas,Clay County,16083
50,3,7,5,23,Arkansas,Cleburne County,25970
50,3,7,5,25,Arkansas,Cleveland County,8689
50,3,7,5,27,Arkansas,Columbia County,24552
50,3,7,5,29,Arkansas,Conway County,21273
50,3,7,5,31,Arkansas,Craighead County,96443
50,3,7,5,33,Arkansas,Crawford County,61948
50,3,7,5,35,Arkansas,Crittenden County,50902
50,3,7,5,37,Arkansas,Cross County,17870
50,3,7,5,39,Arkansas,Dallas County,8116
50,3,7,5,41,Arkansas,Desha County,13008
50,3,7,5,43,Arkansas,Drew County,18509
50,3,7,5,45,Arkansas,Faulkner County,113237
50,3,7,5,47,Arkansas,Franklin County,18125
50,3,7,5,49,Arkansas,Fulton County,12245
50,3,7,5,51,Arkansas,Garland County,96024
50,3,7,5,53,Arkansas,Grant County,17853
50,3,7,5,55,Arkansas,Greene County,42090
50,3,7,5,57,Arkansas,Hempstead County,22609
50,3,7,5,59,Arkansas,Hot Spring County,32923
50,3,7,5,61,Arkansas,Howard County,13789
50,3,7,5,63,Arkansas,Independence County,36647
50,3,7,5,65,Arkansas,Izard County,13696
50,3,7,5,67,Arkansas,Jackson County,17997
50,3,7,5,69,Arkansas,Jefferson County,77435
50,3,7,5,71,Arkansas,Johnson County,25540
50,3,7,5,73,Arkansas,Lafayette County,7645
50,3,7,5,75,Arkansas,Lawrence County,17415
50,3,7,5,77,Arkansas,Lee County,10424
50,3,7,5,79,Arkansas,Lincoln County,14134
50,3,7,5,81,Arkansas,Little River County,13171
50,3,7,5,83,Arkansas,Logan County,22353
50,3,7,5,85,Arkansas,Lonoke County,68356
50,3,7,5,87,Arkansas,Madison County,15717
50,3,7,5,89,Arkansas,Marion County,16653
50,3,7,5,91,Arkansas,Miller County,43462
50,3,7,5,93,Arkansas,Mississippi County,46480
50,3,7,5,95,Arkansas,Monroe County,8149
50,3,7,5,97,Arkansas,Montgomery County,9487
50,3,7,5,99,Arkansas,Nevada County,8997
50,3,7,5,101,Arkansas,Newton County,8330
50,3,7,5,103,Arkansas,Ouachita County,26120
50,3,7,5,105,Arkansas,Perry County,10445
50,3,7,5,107,Arkansas,Phillips County,21757
50,3,7,5,109,Arkansas,Pike County,11291
50,3,7,5,111,Arkansas,Poinsett County,24583
50,3,7,5,113,Arkansas,Polk County,20662
50,3,7,5,115,Arkansas,Pope County,61754
50,3,7,5,117,Arkansas,Prairie County,8715
50,3,7,5,119,Arkansas,Pulaski County,382748
50,3,7,5,121,Arkansas,Randolph County,17969
50,3,7,5,123,Arkansas,St. Francis County,28258
50,3,7,5,125,Arkansas,Saline County,107118
50,3,7,5,127,Arkansas,Scott County,11233
50,3,7,5,129,Arkansas,Searcy County,8195
50,3,7,5,131,Arkansas,Sebastian County,125744
50,3,7,5,133,Arkansas,Sevier County,17058
50,3,7,5,135,Arkansas,Sharp County,17264
50,3,7,5,137,Arkansas,Stone County,12394
50,3,7,5,139,Arkansas,Union County,41639
50,3,7,5,141,Arkansas,Van Buren County,17295
50,3,7,5,143,Arkansas,Washington County,203065
50,3,7,5,145,Arkansas,White County,77076
50,3,7,5,147,Arkansas,Woodruff County,7260
50,3,7,5,149,Arkansas,Yell County,22185
40,4,9,6,0,California,California,37253956
50,4,9,6,1,California,Alameda County,1510271
50,4,9,6,3,California,Alpine County,1175
50,4,9,6,5,California,Amador County,38091
50,4,9,6,7,California,Butte County,220000
50,4,9,6,9,California,Calaveras County,45578
50,4,9,6,11,California,Colusa County,21419
50,4,9,6,13,California,Contra Costa County,1049025
50,4,9,6,15,California,Del Norte County,28610
50,4,9,6,17,California,El Dorado County,181058
50,4,9,6,19,California,Fresno County,930450
50,4,9,6,21,California,Glenn County,28122
50,4,9,6,23,California,Humboldt County,134623
50,4,9,6,25,California,Imperial County,174528
50,4,9,6,27,California,Inyo County,18546
50,4,9,6,29,California,Kern County,839631
50,4,9,6,31,California,Kings County,152982
50,4,9,6,33,California,Lake County,64665
50,4,9,6,35,California,Lassen County,34895
50,4,9,6,37,California,Los Angeles County,9818605
50,4,9,6,39,California,Madera County,150865
50,4,9,6,41,California,Marin County,252409
